('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678126 function calls (659768 primitive calls) in 1.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      842    0.003    0.000    0.003    0.000 {built-in method posix.stat}
  157/148    0.000    0.000    0.003    0.000 typing.py:392(inner)
      254    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
    13039    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     5787    0.002    0.000    0.003    0.000 _parser.py:176(append)
     2180    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      187    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     9494    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      320    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    14777    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     2584    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      9/7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
  796/337    0.001    0.000    0.003    0.000 element.py:2336(_matches)
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
     2173    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1425    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
    10042    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      160    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.002    0.002 client.py:231(_parse_header_lines)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      376    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
     2679    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      121    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
