('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         588972 function calls (574116 primitive calls) in 8.679 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      106    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      106    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      105    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      104    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      104    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
    102/6    0.000    0.000    0.156    0.026 <frozen importlib._bootstrap>:911(_load_unlocked)
   102/99    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      102    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       97    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       97    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       91    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       91    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
     80/1    0.000    0.000    8.679    8.679 {built-in method builtins.exec}
       80    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       80    0.006    0.000    7.017    0.088 {method 'read' of '_io.BufferedReader' objects}
       79    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       79    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       79    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       79    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       79    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     79/6    0.000    0.000    0.156    0.026 <frozen importlib._bootstrap_external>:989(exec_module)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       79    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       77    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    77/74    0.000    0.000    0.001    0.000 typing.py:392(inner)
       73    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       68    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       52    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
    52/14    0.001    0.000    0.015    0.001 css_parser.py:911(parse_selectors)
       51    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       50    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       50    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       50    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
       50    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       46    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       43    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
    42/30    0.000    0.000    0.012    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
    41/31    0.000    0.000    0.076    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       40    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
       36    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       36    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       34    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       34    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       33    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       31    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       31    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       29    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       29    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
    28/27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       26    0.000    0.000    0.942    0.036 {method 'readline' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
       26    0.000    0.000    0.000    0.000 typing.py:1242(__init__)
       25    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       24    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       24    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       21    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       21    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
    21/20    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       21    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       19    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       19    0.000    0.000    0.001    0.000 enum.py:528(__new__)
       19    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       17    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       17    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
       17    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
       16    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
    16/12    0.000    0.000    0.081    0.007 {built-in method builtins.__import__}
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
       16    0.000    0.000    0.000    0.000 request.py:611(__lt__)
       16    0.000    0.000    0.034    0.002 css_parser.py:296(__init__)
       16    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
       16    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
       16    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       16    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
