('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678362 function calls (659984 primitive calls) in 8.725 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      199    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      121    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
5605/5537    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
    42/33    0.000    0.000    0.002    0.000 typing.py:508(__getitem__)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     4112    0.001    0.000    0.002    0.000 _parser.py:293(tell)
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
        3    0.000    0.000    0.002    0.001 feedparser.py:171(feed)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
     2694    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       33    0.000    0.000    0.002    0.000 typing.py:687(Union)
       75    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
     2705    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     5578    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       56    0.000    0.000    0.001    0.000 _htmlparser.py:90(handle_startendtag)
      320    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1360    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      880    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     5513    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
     6523    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5580    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 ssl_.py:219(create_urllib3_context)
       33    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
     2757    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      802    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
     7553    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
  161/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      203    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     1425    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      320    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     2695    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
        2    0.000    0.000    0.001    0.000 readers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
     1107    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      479    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
       54    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
