('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         589082 function calls (574211 primitive calls) in 4.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      669    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
     4056    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2795    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1170    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2695    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     2443    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     5623    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
      104    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
     2460    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
     3730    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       14    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
     3818    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1750    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
      568    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      876    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
     2928    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2577    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      401    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     2694    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
